activity_period,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,activity_type_code,price_category_code,terminal,boarding_area,passenger_count,adjusted_activity_type_code,year,month
201203,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6957,Enplaned,2012,March
200905,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,4880,Deplaned,2009,May
201004,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7290,Enplaned,2010,April
200711,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6991,Enplaned,2007,November
201509,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9430,Enplaned,2015,September
201306,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7678,Enplaned,2013,June
200702,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4424,Enplaned,2007,February
201002,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4779,Enplaned,2010,February
200712,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6769,Enplaned,2007,December
201505,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8801,Enplaned,2015,May
201206,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,7211,Deplaned,2012,June
201310,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7718,Enplaned,2013,October
200509,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4568,Enplaned,2005,September
200701,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4845,Enplaned,2007,January
201009,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6905,Enplaned,2010,September
201301,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7541,Enplaned,2013,January
200901,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5560,Enplaned,2009,January
201011,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6586,Enplaned,2010,November
201508,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10194,Enplaned,2015,August
200705,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7592,Enplaned,2007,May
201107,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7627,Enplaned,2011,July
201001,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5614,Enplaned,2010,January
201304,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8737,Enplaned,2013,April
200603,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4514,Enplaned,2006,March
200812,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4853,Enplaned,2008,December
200807,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6789,Enplaned,2008,July
201010,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7051,Enplaned,2010,October
201205,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7713,Enplaned,2012,May
201109,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7151,Enplaned,2011,September
201601,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9819,Enplaned,2016,January
200805,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6592,Deplaned,2008,May
201506,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9438,Enplaned,2015,June
