activity_period,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,activity_type_code,price_category_code,terminal,boarding_area,passenger_count,adjusted_activity_type_code,year,month
200512,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4261,Enplaned,2005,December
201112,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7484,Enplaned,2011,December
200511,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4550,Enplaned,2005,November
201106,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7111,Enplaned,2011,June
200508,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4204,Enplaned,2005,August
201403,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7971,Enplaned,2014,March
200907,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5796,Enplaned,2009,July
201511,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8925,Enplaned,2015,November
201309,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8581,Enplaned,2013,September
201501,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7177,Enplaned,2015,January
200803,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7182,Enplaned,2008,March
201512,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9341,Enplaned,2015,December
200806,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6812,Enplaned,2008,June
200608,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5798,Enplaned,2006,August
200704,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6631,Enplaned,2007,April
200909,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5107,Enplaned,2009,September
200708,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8175,Enplaned,2007,August
200903,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4441,Enplaned,2009,March
200611,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5315,Enplaned,2006,November
200809,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5548,Enplaned,2008,September
200902,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,3972,Enplaned,2009,February
201006,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6992,Enplaned,2010,June
201105,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7497,Enplaned,2011,May
201111,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7188,Enplaned,2011,November
200908,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5826,Enplaned,2009,August
201404,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7791,Enplaned,2014,April
201204,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7078,Enplaned,2012,April
201110,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7145,Enplaned,2011,October
201312,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8179,Enplaned,2013,December
201209,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7356,Enplaned,2012,September
201510,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9208,Enplaned,2015,October
200710,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7678,Enplaned,2007,October
