activity_period,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,activity_type_code,price_category_code,terminal,boarding_area,passenger_count,adjusted_activity_type_code,year,month
200811,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5596,Enplaned,2008,November
201102,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6053,Enplaned,2011,February
200609,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5658,Enplaned,2006,September
201108,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7432,Enplaned,2011,August
200911,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4849,Enplaned,2009,November
201207,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7645,Enplaned,2012,July
200607,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5861,Enplaned,2006,July
201303,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7689,Enplaned,2013,March
200910,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5477,Enplaned,2009,October
201007,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7392,Enplaned,2010,July
200601,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,3470,Enplaned,2006,January
201504,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7465,Enplaned,2015,April
201307,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8771,Enplaned,2013,July
201308,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9346,Enplaned,2013,August
201406,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8284,Enplaned,2014,June
201005,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7608,Enplaned,2010,May
200808,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6408,Enplaned,2008,August
200709,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7209,Enplaned,2007,September
201003,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5277,Enplaned,2010,March
201410,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7446,Enplaned,2014,October
201012,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7194,Enplaned,2010,December
201210,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7425,Enplaned,2012,October
200810,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6801,Enplaned,2008,October
200707,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7874,Enplaned,2007,July
201603,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,8021,Deplaned,2016,March
201408,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8661,Enplaned,2014,August
201211,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7085,Enplaned,2012,November
200706,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7273,Enplaned,2007,June
201101,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7271,Enplaned,2011,January
201201,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7482,Enplaned,2012,January
201305,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8620,Enplaned,2013,May
201412,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7713,Enplaned,2014,December
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6263,Enplaned,2005,July
